Company Name,Industry,Symbol,Series,ISIN Code
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
PVR Ltd.,Media Entertainment & Publication,PVR,EQ,INE191H01014
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025
Quess Corp Ltd.,Services,QUESS,EQ,INE615P01015
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
Raymond Ltd.,Textiles,RAYMOND,EQ,INE301A01014
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
Route Mobile Ltd.,Telecommunication,ROUTE,EQ,INE450U01017
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01012
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022
Sterlite Technologies Ltd.,Telecommunication,STLTECH,EQ,INE089C01029
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST,EQ,INE886H01027
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,EQ,INE054A01027
Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020
Welspun India Ltd.,Textiles,WELSPUNIND,EQ,INE192B01031
