Company Name,Industry,Symbol,Series,ISIN Code
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ,INE686Y01026
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Grindwell Norton Ltd.,Capital Goods,GRINDWELL,EQ,INE536A01023
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010
ICICI Securities Ltd.,Financial Services,ISEC,EQ,INE763G01038
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER,EQ,INE531A01024
L&T Finance Holdings Ltd.,Financial Services,L&TFH,EQ,INE498L01015
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
Metro Brands Ltd.,Consumer Durables,METROBRAND,EQ,INE317I01021
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
NHPC Ltd.,Power,NHPC,EQ,INE848E01016
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,BE,INE619A01035
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01013
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO,EQ,INE343B01030
Relaxo Footwears Ltd.,Consumer Durables,RELAXO,EQ,INE131B01039
SKF India Ltd.,Capital Goods,SKFINDIA,EQ,INE640A01023
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01013
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,EQ,INE387A01021
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013
The New India Assurance Company Ltd.,Financial Services,NIACL,EQ,INE470Y01017
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029
Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025
Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ,INE825V01034
Vinati Organics Ltd.,Chemicals,VINATIORGA,EQ,INE410B01037
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA,EQ,INE342J01019
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
