Company Name,Industry,Symbol,Series,ISIN Code
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021
Jindal Worldwide Ltd.,Textiles,JINDWORLD,EQ,INE247D01039
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033
Justdial Ltd.,Consumer Services,JUSTDIAL,EQ,INE599M01018
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
KNR Constructions Ltd.,Construction,KNRCON,EQ,INE634I01029
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
KRBL Ltd.,Fast Moving Consumer Goods,KRBL,EQ,INE001B01026
KSB Ltd.,Capital Goods,KSB,EQ,INE999A01015
Kalpataru Power Transmission Ltd.,Construction,KALPATPOWR,EQ,INE220B01022
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
Kec International Ltd.,Capital Goods,KEC,EQ,INE389H01022
Kennametal India Ltd.,Capital Goods,KENNAMET,EQ,INE717A01029
Keystone Realtors Ltd.,Realty,RUSTOMJEE,EQ,INE263M01029
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01017
Lakshmi Machine Works Ltd.,Capital Goods,LAXMIMACH,EQ,INE269B01029
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011
Laxmi Organic Industries Ltd.,Chemicals,LXCHEM,EQ,INE576O01020
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018
Lux Industries Ltd.,Textiles,LUXIND,EQ,INE150G01020
MMTC Ltd.,Services,MMTC,EQ,INE123F01029
MTAR Technologies Ltd.,Capital Goods,MTARTECH,EQ,INE864I01014
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Mahindra CIE Automotive Ltd.,Automobile and Auto Components,MAHINDCIE,EQ,INE536H01010
Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL,EQ,INE998I01010
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE,EQ,INE813A01018
Mahindra Logistics Ltd.,Services,MAHLOG,EQ,INE766P01016
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014
Mastek Ltd.,Information Technology,MASTEK,EQ,INE759A01021
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01012
Medplus Health Services Ltd.,Consumer Services,MEDPLUS,EQ,INE804L01022
Meghmani Finechem Ltd.,Chemicals,MFL,EQ,INE071N01016
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NCC Ltd.,Construction,NCC,EQ,INE868B01028
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014
NOCIL Ltd.,Chemicals,NOCIL,EQ,INE163A01018
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA,EQ,INE418L01021
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18,EQ,INE870H01013
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,EQ,INE118D01016
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016
Orient Electric Ltd.,Consumer Durables,ORIENTELEC,EQ,INE142Z01019
PCBL Ltd.,Chemicals,PCBL,EQ,INE602A01031
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
PNC Infratech Ltd.,Construction,PNCINFRA,EQ,INE195J01029
PVR Ltd.,Media Entertainment & Publication,PVR,EQ,INE191H01014
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021
Polyplex Corporation Ltd.,Capital Goods,POLYPLEX,EQ,INE633B01018
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025
Prince Pipes and Fittings Ltd.,Capital Goods,PRINCEPIPE,EQ,INE689W01016
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN,EQ,INE010A01011
Quess Corp Ltd.,Services,QUESS,EQ,INE615P01015
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
Rain Industries Ltd,Chemicals,RAIN,EQ,INE855B01025
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,INE961O01016
Rallis India Ltd.,Chemicals,RALLIS,EQ,INE613A01020
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,EQ,INE027A01015
Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI,EQ,INE703B01027
RattanIndia Enterprises Ltd.,Services,RTNINDIA,EQ,INE834M01019
Raymond Ltd.,Textiles,RAYMOND,EQ,INE301A01014
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
Restaurant Brands Asia Ltd.,Consumer Services,RBA,EQ,INE07T201019
Rossari Biotech Ltd.,Chemicals,ROSSARI,EQ,INE02A801020
Route Mobile Ltd.,Telecommunication,ROUTE,EQ,INE450U01017
SJVN Ltd.,Power,SJVN,EQ,INE002L01015
Sanofi India Ltd.,Healthcare,SANOFI,EQ,INE058A01010
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01012
Sharda Cropchem Ltd.,Chemicals,SHARDACROP,EQ,INE221J01015
Shoppers Stop Ltd.,Consumer Services,SHOPERSTOP,EQ,INE498B01024
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022
Shyam Metalics and Energy Ltd.,Metals & Mining,SHYAMMETL,EQ,INE810G01011
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,EQ,INE00M201021
Sterlite Technologies Ltd.,Telecommunication,STLTECH,EQ,INE089C01029
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC,EQ,INE232I01014
Sunteck Realty Ltd.,Realty,SUNTECK,EQ,INE805D01034
Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT,EQ,INE399C01030
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR,EQ,INE03QK01018
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
Swan Energy Ltd.,Realty,SWANENERGY,EQ,INE665A01038
TCI Express Ltd.,Services,TCIEXP,EQ,INE586V01016
TCNS Clothing Co. Ltd.,Textiles,TCNSBRANDS,EQ,INE778U01029
TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG,EQ,INE690A01028
TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST,EQ,INE886H01027
Tamilnad Mercantile Bank Ltd.,Financial Services,TMB,EQ,INE668A01016
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01018
Teamlease Services Ltd.,Services,TEAMLEASE,EQ,INE985S01024
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
Transport Corporation of India Ltd.,Services,TCI,EQ,INE688A01022
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018
UFLEX Ltd.,Capital Goods,UFLEX,EQ,INE516A01017
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016
V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,INE951I01027
V-Mart Retail Ltd.,Consumer Services,VMART,EQ,INE665J01013
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,EQ,INE054A01027
Vaibhav Global Ltd.,Consumer Durables,VAIBHAVGBL,EQ,INE884A01027
Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC,EQ,INE665L01035
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,INE043W01024
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025
Welspun India Ltd.,Textiles,WELSPUNIND,EQ,INE192B01031
Westlife Development Ltd.,Consumer Services,WESTLIFE,EQ,INE274F01020
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL,EQ,INE768C01010
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010
